name;serviceguiden_id;nuts_code;device_id
Allmänna badet;61e0a239cfc4d247cca957bf;;
Askimsbadet;61e0a244cfc4d247cca95f4e;SE0A21480000000532;
Aspholmen (Saltholmen);61e0a246cfc4d247cca9604c;SE0A21480000004452;
Bergsjön;61e0a252cfc4d247cca9698b;SE0A21480000000388;
Billdal;61e0a256cfc4d247cca96ce2;SE0A21480000000519;
Delsjöbadet;61e0a272cfc4d247cca982dc;SE0A21480000000390;
Fiskebäck;61e0a28acfc4d247cca995d0;SE0A21480000000516;
Ganlet;61e0a2abcfc4d247cca9af5e;SE0A21480000004250;
Hovåsbadet;61e0a2cfcfc4d247cca9cb20;SE0A21480000000533;
Härlanda tjärn;61e0a2d5cfc4d247cca9cf8d;SE0A21480000000392;
Hästevik;61e0a2d5cfc4d247cca9cfff;SE0A21480000000505;
Killingsholmen;61e0a2eacfc4d247cca9dee4;SE0A21480000000520;
Lillebybadet;61e0a30dcfc4d247cca9fbfb;SE0A21480000000508;
Lindås;61e0a310cfc4d247cca9fe9a;SE0A21480000002252;
Marholmen;61e0a31bcfc4d247ccaa0866;SE0A21480000000531;
Nordrevik;61e0a32dcfc4d247ccaa1808;SE0A21480000004453;
Näset;61e0a332cfc4d247ccaa1bd8;SE0A21480000000530;
Sillvik;61e0a355cfc4d247ccaa3c09;SE0A21480000000507;
Smithska udden;61e0a362cfc4d247ccaa47c9;SE0A21480000000529;
Stora Amundön;61e0a374cfc4d247ccaa562b;SE0A21480000000518;
Stora Mölnesjön;61e0a374cfc4d247ccaa56eb;SE0A21480000000386;
Styrsö Bratten;61e0a379cfc4d247ccaa5994;SE0A21480000000510;
Styrsö Uttervik;61e0a379cfc4d247ccaa59f5;SE0A21480000000526;
Surtesjön;61e0a37acfc4d247ccaa5ab4;SE0A21480000000385;
Tumlehed;61e0a391cfc4d247ccaa700e;SE0A21480000000506;
